gaoma分类,#genre#
CCTV2,http://59.188.94.126:35455/bptv/10000100000000050000000003407051.m3u8
CCTV9,http://59.188.94.126:35455/bptv/10000100000000050000000005002664.m3u8
CCTV5+,http://59.188.94.126:35455/bptv/10000100000000050000000003248330.m3u8
CCTV1,http://59.188.94.126:35455/bptv/10000100000000050000000003248324.m3u8
CCTV16,http://59.188.94.126:35455/bptv/10000100000000050000000004972559.m3u8
CCTV8,http://59.188.94.126:35455/bptv/10000100000000050000000003870838.m3u8
CCTV7,http://59.188.94.126:35455/bptv/10000100000000050000000003870750.m3u8
CCTV12,http://59.188.94.126:35455/bptv/10000100000000050000000003870755.m3u8
CCTV2,http://59.188.94.126:35455/bptv/10000100000000050000000003870745.m3u8
CCTV14,http://59.188.94.126:35455/bptv/10000100000000050000000003870756.m3u8
CCTV5,http://59.188.94.126:35455/bptv/10000100000000050000000003870748.m3u8
CCTV6,http://59.188.94.126:35455/bptv/10000100000000050000000003870749.m3u8
CCTV3,http://59.188.94.126:35455/bptv/10000100000000050000000003870746.m3u8
新白娘子传奇,http://www.clmy.cc:35455/yy/1354490667
CCTV10,http://59.188.94.126:35455/bptv/10000100000000050000000003870753.m3u8
水浒传,http://www.clmy.cc:35455/yy/1353873252
CCTV15,http://59.188.94.126:35455/bptv/10000100000000050000000003870757.m3u8
淘电影,http://yc.myds.me:35455/bptv/10000100000000050000000003887498.m3u8
北京体育休闲,http://yc.myds.me:35455/bptv/10000100000000050000000003870779.m3u8
CCTV9,http://59.188.94.126:35455/bptv/10000100000000050000000003870752.m3u8
封神榜,http://www.clmy.cc:35455/yy/1353426319
CCTV4,http://59.188.94.126:35455/bptv/10000100000000050000000003870747.m3u8
CCTV1,http://59.188.94.126:35455/bptv/10000100000000050000000003864351.m3u8
CCTV5+,http://59.188.94.126:35455/bptv/10000100000000050000000003870759.m3u8
CCTV13,http://59.188.94.126:35455/bptv/10000100000000050000000004796248.m3u8
CCTV11,http://59.188.94.126:35455/bptv/10000100000000050000000003870754.m3u8
蜡笔小新,http://www.douzhicloud.site:35455/bilibili/30837590
CCTV17,http://59.188.94.126:35455/bptv/10000100000000050000000003870758.m3u8
IPTV经典电影,http://43.138.0.72:35455/yy/1382754187
天龙八部,http://www.clmy.cc:35455/yy/1355067965
北京体育休闲,http://59.188.94.126:35455/bptv/10000100000000050000000003870779.m3u8
CCTV16,http://59.188.94.126:35455/bptv/10000100000000050000000004972604.m3u8
NewTV动作电影,http://43.138.0.72:35455/yy/1382736823
北京新闻,http://yc.myds.me:35455/bptv/10000100000000050000000003870780.m3u8
经典动漫,http://43.138.0.72:35455/yy/24180320
电影_星爷,http://www.douzhicloud.site:35455/huya/11342412
鹿鼎记,http://43.138.0.72:35455/yy/1382736920
剧集_庆余年,http://www.douzhicloud.site:35455/huya/11352960
电影_武侠,http://www.douzhicloud.site:35455/huya/11342427
电影_许氏三杰,http://www.douzhicloud.site:35455/huya/11602033
电影_盗墓,http://www.douzhicloud.site:35455/huya/21059552
